taxon	sequenceID	name	genus	scaffold	identity	bitscore	host_species	host_genus	host_family	host_order
alignment/AL_EHBV-avi.27-phalacrocoracidae/member/fasta-digs-ehbv/ehbv-avi.27.1-Phalacrocorax_harrisi	ehbv-avi.27.1-Phalacrocorax_harrisi	ehbv-avi.27.1-Phalacrocorax_harrisi	Avihepadnavirus	NEVG01000633.1	92.784	181	Phalacrocorax_harrisi	Nannopterum	Phalacrocoracidae	Pelecaniformes
alignment/AL_EHBV-avi.27-phalacrocoracidae/member/fasta-digs-ehbv/ehbv-avi.27.10-Nannopterum_harrisi	ehbv-avi.27.10-Nannopterum_harrisi	ehbv-avi.27.10-Nannopterum_harrisi	Avihepadnavirus	NEVG01000485.1	89.691	178	Nannopterum_harrisi	Nannopterum	Phalacrocoracidae	Pelecaniformes
alignment/AL_EHBV-avi.27-phalacrocoracidae/member/fasta-digs-ehbv/ehbv-avi.27.100-Phalacrocorax_harrisi	ehbv-avi.27.100-Phalacrocorax_harrisi	ehbv-avi.27.100-Phalacrocorax_harrisi	Avihepadnavirus	NEVG01000342.1	91.489	150	Phalacrocorax_harrisi	Nannopterum	Phalacrocoracidae	Pelecaniformes
alignment/AL_EHBV-avi.27-phalacrocoracidae/member/fasta-digs-ehbv/ehbv-avi.27.101-Nannopterum_harrisi	ehbv-avi.27.101-Nannopterum_harrisi	ehbv-avi.27.101-Nannopterum_harrisi	Avihepadnavirus	NEVG01000063.1	89.474	150	Nannopterum_harrisi	Nannopterum	Phalacrocoracidae	Pelecaniformes
alignment/AL_EHBV-avi.27-phalacrocoracidae/member/fasta-digs-ehbv/ehbv-avi.27.102-Phalacrocorax_harrisi	ehbv-avi.27.102-Phalacrocorax_harrisi	ehbv-avi.27.102-Phalacrocorax_harrisi	Avihepadnavirus	NEVG01000063.1	89.474	150	Phalacrocorax_harrisi	Nannopterum	Phalacrocoracidae	Pelecaniformes
alignment/AL_EHBV-avi.27-phalacrocoracidae/member/fasta-digs-ehbv/ehbv-avi.27.103-Nannopterum_harrisi	ehbv-avi.27.103-Nannopterum_harrisi	ehbv-avi.27.103-Nannopterum_harrisi	Avihepadnavirus	NEVG01000342.1	91.489	150	Nannopterum_harrisi	Nannopterum	Phalacrocoracidae	Pelecaniformes
alignment/AL_EHBV-avi.27-phalacrocoracidae/member/fasta-digs-ehbv/ehbv-avi.27.104-Nannopterum_brasilianus	ehbv-avi.27.104-Nannopterum_brasilianus	ehbv-avi.27.104-Nannopterum_brasilianus	Avihepadnavirus	NFME01002270.1	94.845	150	Nannopterum_brasilianus	Nannopterum	Phalacrocoracidae	Pelecaniformes
alignment/AL_EHBV-avi.27-phalacrocoracidae/member/fasta-digs-ehbv/ehbv-avi.27.105-Nannopterum_brasilianus	ehbv-avi.27.105-Nannopterum_brasilianus	ehbv-avi.27.105-Nannopterum_brasilianus	Avihepadnavirus	NFME01004976.1	86.598	150	Nannopterum_brasilianus	Nannopterum	Phalacrocoracidae	Pelecaniformes
alignment/AL_EHBV-avi.27-phalacrocoracidae/member/fasta-digs-ehbv/ehbv-avi.27.106-Phalacrocorax_harrisi	ehbv-avi.27.106-Phalacrocorax_harrisi	ehbv-avi.27.106-Phalacrocorax_harrisi	Avihepadnavirus	NEVG01000092.1	91.753	150	Phalacrocorax_harrisi	Nannopterum	Phalacrocoracidae	Pelecaniformes
alignment/AL_EHBV-avi.27-phalacrocoracidae/member/fasta-digs-ehbv/ehbv-avi.27.107-Nannopterum_harrisi	ehbv-avi.27.107-Nannopterum_harrisi	ehbv-avi.27.107-Nannopterum_harrisi	Avihepadnavirus	NEVG01000070.1	86.598	150	Nannopterum_harrisi	Nannopterum	Phalacrocoracidae	Pelecaniformes
