taxon	sequenceID	name	genus	scaffold	identity	bitscore	host_species	host_genus	host_family	host_order
alignment/AL_EHBV-avi.1-neoaves/member/fasta-digs-ehbv/ehbv-avi.1-Acanthisitta_chloris	ehbv-avi.1-Acanthisitta_chloris	ehbv-avi.1-Acanthisitta_chloris	Avihepadnavirus	scaffold27280	50.649	241	Acanthisitta_chloris	Acanthisitta	Acanthisittidae	Passeriformes
alignment/AL_EHBV-avi.1-neoaves/member/fasta-digs-ehbv/ehbv-avi.1-Acridotheres_javanicus	ehbv-avi.1-Acridotheres_javanicus	ehbv-avi.1-Acridotheres_javanicus	Avihepadnavirus	PEJO01000017.1	58.4	395	Acridotheres_javanicus	Acridotheres	Sturnidae	Passeriformes
alignment/AL_EHBV-avi.1-neoaves/member/fasta-digs-ehbv/ehbv-avi.1-Agapornis_roseicollis	ehbv-avi.1-Agapornis_roseicollis	ehbv-avi.1-Agapornis_roseicollis	Avihepadnavirus	NDXB01015160.1	76.596	198	Agapornis_roseicollis	Agapornis	Psittacidae	Psittaciformes
alignment/AL_EHBV-avi.1-neoaves/member/fasta-digs-ehbv/ehbv-avi.1-Alauda_arvensis	ehbv-avi.1-Alauda_arvensis	ehbv-avi.1-Alauda_arvensis	Avihepadnavirus	CADDXX010000001.1	64.773	212	Alauda_arvensis	Alauda	Alaudidae	Passeriformes
alignment/AL_EHBV-avi.1-neoaves/member/fasta-digs-ehbv/ehbv-avi.1-Amazona_aestiva	ehbv-avi.1-Amazona_aestiva	ehbv-avi.1-Amazona_aestiva	Avihepadnavirus	LMAW01002613.1	74.468	209	Amazona_aestiva	Amazona	Psittacidae	Psittaciformes
alignment/AL_EHBV-avi.1-neoaves/member/fasta-digs-ehbv/ehbv-avi.1-Amazona_vittata	ehbv-avi.1-Amazona_vittata	ehbv-avi.1-Amazona_vittata	Avihepadnavirus	KB272672.1	67.021	345	Amazona_vittata	Amazona	Psittacidae	Psittaciformes
alignment/AL_EHBV-avi.1-neoaves/member/fasta-digs-ehbv/ehbv-avi.1-Antigone_vipio	ehbv-avi.1-Antigone_vipio	ehbv-avi.1-Antigone_vipio	Avihepadnavirus	BJEU01008687.1	60.606	166	Antigone_vipio	Antigone	Gruidae	Gruiformes
alignment/AL_EHBV-avi.1-neoaves/member/fasta-digs-ehbv/ehbv-avi.1-Antrostomus_carolinensis	ehbv-avi.1-Antrostomus_carolinensis	ehbv-avi.1-Antrostomus_carolinensis	Avihepadnavirus	scaffold16207	60.857	318	Antrostomus_carolinensis	Caprimulgus	Caprimulgidae	Caprimulgiformes
alignment/AL_EHBV-avi.1-neoaves/member/fasta-digs-ehbv/ehbv-avi.1-Apaloderma_vittatum	ehbv-avi.1-Apaloderma_vittatum	ehbv-avi.1-Apaloderma_vittatum	Avihepadnavirus	scaffold16435	60.883	348	Apaloderma_vittatum	Apaloderma	Trogonidae	Trogoniformes
alignment/AL_EHBV-avi.1-neoaves/member/fasta-digs-ehbv/ehbv-avi.1-Aptenodytes_forsteri	ehbv-avi.1-Aptenodytes_forsteri	ehbv-avi.1-Aptenodytes_forsteri	Avihepadnavirus	Scaffold155	94.805	460	Aptenodytes_forsteri	Aptenodytes	Spheniscidae	Sphenisciformes
