taxon	sequenceID	name	genus	scaffold	identity	bitscore	host_species	host_genus	host_family	host_order
alignment/AL_EHBV-avi.13-paleognathae/member/fasta-digs-ehbv/ehbv-avi.13-Anomalopteryx_didiformis	ehbv-avi.13-Anomalopteryx_didiformis	ehbv-avi.13-Anomalopteryx_didiformis	Avihepadnavirus	SZQC01000082.1	79.762	135	Anomalopteryx_didiformis	Anomalopteryx	Emeidae	Dinornithiformes
alignment/AL_EHBV-avi.13-paleognathae/member/fasta-digs-ehbv/ehbv-avi.13-Apteryx_australis_mantelli	ehbv-avi.13-Apteryx_australis_mantelli	ehbv-avi.13-Apteryx_australis_mantelli	Avihepadnavirus	gi|924844081|ref|NW_013997149.1|	92.308	121	Apteryx_australis_mantelli	Apteryx	Apterygidae	Apterygiformes
alignment/AL_EHBV-avi.13-paleognathae/member/fasta-digs-ehbv/ehbv-avi.13-Apteryx_haastii	ehbv-avi.13-Apteryx_haastii	ehbv-avi.13-Apteryx_haastii	Avihepadnavirus	PTFD01000677.1	90.769	119	Apteryx_haastii	Apteryx	Apterygidae	Apterygiformes
alignment/AL_EHBV-avi.13-paleognathae/member/fasta-digs-ehbv/ehbv-avi.13-Apteryx_rowi	ehbv-avi.13-Apteryx_rowi	ehbv-avi.13-Apteryx_rowi	Avihepadnavirus	PTFB01001036.1	92.308	121	Apteryx_rowi	Apteryx	Apterygidae	Apterygiformes
alignment/AL_EHBV-avi.13-paleognathae/member/fasta-digs-ehbv/ehbv-avi.13-Casuarius_casuarius	ehbv-avi.13-Casuarius_casuarius	ehbv-avi.13-Casuarius_casuarius	Avihepadnavirus	PTFA01000105.1	87.879	112	Casuarius_casuarius	Casuarius	Casuariidae	Casuariiformes
alignment/AL_EHBV-avi.13-paleognathae/member/fasta-digs-ehbv/ehbv-avi.13-Dromaius_novaehollandiae	ehbv-avi.13-Dromaius_novaehollandiae	ehbv-avi.13-Dromaius_novaehollandiae	Avihepadnavirus	NW_020453882.1	89.394	114	Dromaius_novaehollandiae	Dromaius	Dromaiidae	Casuariiformes
alignment/AL_EHBV-avi.13-paleognathae/member/fasta-digs-ehbv/ehbv-avi.13-Pterocnemia_pennata	ehbv-avi.13-Pterocnemia_pennata	ehbv-avi.13-Pterocnemia_pennata	Avihepadnavirus	PTJI01000185.1	87.342	144	Pterocnemia_pennata	Pterocnemia	Rheidae	Rheiformes
alignment/AL_EHBV-avi.13-paleognathae/member/fasta-digs-ehbv/ehbv-avi.13-Rhea_americana	ehbv-avi.13-Rhea_americana	ehbv-avi.13-Rhea_americana	Avihepadnavirus	PTEV01000046.1	86.076	141	Rhea_americana	Rhea	Rheidae	Rheiformes
alignment/AL_EHBV-avi.13-paleognathae/member/fasta-digs-ehbv/ehbv-avi.13-Struthio_camelus	ehbv-avi.13-Struthio_camelus	ehbv-avi.13-Struthio_camelus	Avihepadnavirus	scaffold51	80.851	77.8	Struthio_camelus	Struthio	Struthionidae	Struthioniformes
alignment/AL_EHBV-avi.13-paleognathae/member/fasta-digs-ehbv/ehbv-avi.13-Tinamus_guttatus	ehbv-avi.13-Tinamus_guttatus	ehbv-avi.13-Tinamus_guttatus	Avihepadnavirus	scaffold4190	63.158	92.8	Tinamus_guttatus	Tinamus	Tinamidae	Tinamiformes
